TRADE HISTORY
Date,Action,Ticker,Name,Price,Shares,Value,Weight %
2018-01-05,BUY,BTC,BTC,14937.6,0.743835,11111.11,11.11
2018-01-05,BUY,ETH,ETH,1245.02,8.924444,11111.11,11.11
2018-01-05,BUY,XRP,XRP,1.9498,5698.560942,11111.11,11.11
2018-01-05,BUY,BCH,BCH,2859.6,3.885547,11111.11,11.11
2018-01-05,BUY,LTC,LTC,251.83,44.121475,11111.11,11.11
2018-01-05,BUY,XMR,XMR,408.71,27.185807,11111.11,11.11
2018-01-05,BUY,ETC,ETC,36.393,305.309019,11111.11,11.11
2018-01-05,BUY,ZEC,ZEC,717.49,15.486085,11111.11,11.11
2018-01-05,BUY,DASH,DASH,1099.0,10.110201,11111.11,11.11
2018-01-26,SELL,BTC,BTC,10101.6,,7154.03,
2018-01-26,SELL,ETH,ETH,1105.3,,8403.34,
2018-01-26,SELL,XRP,XRP,1.1202,,6676.49,
2018-01-26,SELL,BCH,BCH,1469.6,,7160.39,
2018-01-26,SELL,LTC,LTC,162.3,,7252.43,
2018-01-26,SELL,XMR,XMR,269.6,,6845.89,
2018-01-26,SELL,ETC,ETC,28.269,,7679.04,
2018-01-26,SELL,ZEC,ZEC,393.93,,6966.25,
2018-01-26,SELL,DASH,DASH,689.5,,7103.69,
2018-07-13,BUY,BTC,BTC,7367.4,4.427718,32620.77,50.0
2018-07-13,BUY,ETC,ETC,17.34,1881.244128,32620.77,50.0
2018-07-20,SELL,ETC,ETC,16.587,,31204.2,
2018-08-03,SELL,BTC,BTC,6275.9,,51769.6,
2018-08-24,BUY,BTC,BTC,7022.7,7.371752,51769.6,100.0
2018-08-31,SELL,BTC,BTC,6686.6,,49291.95,
2018-10-05,BUY,BTC,BTC,6530.5,1.88699,12322.99,25.0
2018-10-05,BUY,XRP,XRP,0.4589,26853.905514,12322.99,25.0
2018-10-05,BUY,ADA,ADA,0.0845,145765.184544,12322.99,25.0
2018-10-05,BUY,XMR,XMR,113.09,108.96621,12322.99,25.0
2018-10-12,SELL,BTC,BTC,6442.5,,12156.93,
2018-10-12,SELL,XRP,XRP,0.464,,12460.21,
2018-10-12,SELL,ADA,ADA,0.0764,,11136.31,
2018-10-12,SELL,XMR,XMR,105.24,,11467.6,
2018-11-02,BUY,BTC,BTC,6503.3,0.907637,5902.63,12.5
2018-11-02,BUY,ETH,ETH,216.95,27.207343,5902.63,12.5
2018-11-02,BUY,XRP,XRP,0.5351,11030.897033,5902.63,12.5
2018-11-02,BUY,BCH,BCH,613.9,9.614975,5902.63,12.5
2018-11-02,BUY,LTC,LTC,53.88,109.551466,5902.63,12.5
2018-11-02,BUY,XMR,XMR,110.99,53.181665,5902.63,12.5
2018-11-02,BUY,ZEC,ZEC,128.91,45.788791,5902.63,12.5
2018-11-02,BUY,DASH,DASH,166.0,35.55803,5902.63,12.5
2018-11-09,SELL,BTC,BTC,5600.9,,5083.58,
2018-11-09,SELL,ETH,ETH,177.8,,4837.47,
2018-11-09,SELL,XRP,XRP,0.4579,,5051.27,
2018-11-09,SELL,BCH,BCH,427.5,,4110.4,
2018-11-09,SELL,LTC,LTC,42.75,,4683.33,
2018-11-09,SELL,XMR,XMR,88.84,,4724.66,
2018-11-09,SELL,ZEC,ZEC,107.05,,4901.69,
2018-11-09,SELL,DASH,DASH,140.126,,4982.6,
2019-02-15,BUY,BTC,BTC,3942.0,1.946981,7675.0,20.0
2019-02-15,BUY,ETH,ETH,147.29,52.108081,7675.0,20.0
2019-02-15,BUY,LTC,LTC,51.13,150.107554,7675.0,20.0
2019-02-15,BUY,BCH,BCH,145.5,52.749136,7675.0,20.0
2019-02-15,BUY,XMR,XMR,51.08,150.254488,7675.0,20.0
2019-03-01,BUY,XRP,XRP,0.3156,19689.544757,6213.43,16.67
2019-03-08,SELL,XRP,XRP,0.3129,,6161.06,
2019-03-08,BUY,XLM,XLM,0.1086,56677.883961,6154.76,16.67
2019-03-15,BUY,XRP,XRP,0.3167,15819.813143,5009.82,12.5
2019-03-15,BUY,ADA,ADA,0.0533,94028.123616,5009.82,12.5
2019-03-22,SELL,XRP,XRP,0.3088,,4884.53,
2019-03-29,BUY,XRP,XRP,0.3421,20140.043152,6889.1,12.5
2019-04-19,SELL,XRP,XRP,0.301,,6121.31,
2019-04-19,SELL,ADA,ADA,0.0725,,5966.4,
2019-04-26,SELL,XLM,XLM,0.0997,,8316.72,
2019-05-10,BUY,XRP,XRP,0.4594,20273.729508,9314.36,12.5
2019-05-10,BUY,XLM,XLM,0.1419,65617.185967,9314.36,12.5
2019-05-10,BUY,ADA,ADA,0.0942,98898.499146,9314.36,12.5
2019-06-28,SELL,XLM,XLM,0.1056,,9504.52,
2019-07-05,SELL,XRP,XRP,0.3611,,9864.2,
2019-07-05,SELL,BCH,BCH,388.3,,10206.5,
2019-07-12,SELL,ETH,ETH,211.5,,10696.49,
2019-07-12,SELL,ADA,ADA,0.0551,,11238.72,
2019-07-12,SELL,XMR,XMR,76.7,,11784.66,
2019-07-19,SELL,LTC,LTC,94.45,,30108.79,
2019-08-02,BUY,XMR,XMR,97.44,371.351795,36184.52,50.0
2019-08-09,SELL,XMR,XMR,78.3,,29076.85,
2019-08-23,SELL,BTC,BTC,9716.1,,57589.64,
2019-12-27,BUY,PAXG,PAXG,1512.47,38.076553,57589.64,100.0
2020-01-03,SELL,PAXG,PAXG,1603.0,,61036.71,
2020-01-03,BUY,BTC,BTC,8043.3,3.794258,30518.36,50.0
2020-01-03,BUY,ADA,ADA,0.0364,837381.183751,30518.36,50.0
2020-01-10,BUY,BCH,BCH,339.7,34.009769,11553.12,16.67
2020-01-10,BUY,LTC,LTC,58.12,198.780428,11553.12,16.67
2020-01-10,BUY,XLM,XLM,0.0545,211960.490104,11553.12,16.67
2020-01-10,BUY,XMR,XMR,68.21,169.375729,11553.12,16.67
2020-01-17,BUY,ETH,ETH,167.66,52.888505,8867.29,12.5
2020-01-17,BUY,XRP,XRP,0.2366,37470.047656,8867.29,12.5
2020-01-24,BUY,LINK,LINK,2.7715,3004.51135,8327.15,11.11
2020-02-21,SELL,XRP,XRP,0.2289,,8312.91,
2020-02-21,SELL,BCH,BCH,317.1,,8359.74,
2020-02-21,SELL,ADA,ADA,0.0492,,8548.48,
2020-02-28,SELL,XLM,XLM,0.0585,,12687.28,
